#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name,channel_id,subscribers,views,videos
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,33700000,11106276147,1655
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,28700000,19815101042,3706
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,KSI,UCVtFOytbRpEvzLjvqGG5gxQ,24100000,6015064768,1252
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.10%,Reino Unido,,6.9M,,Ver Perfil,Mister Max,UC_8PAD0Qmi6_gpe77S1Atgg,24500000,16061476126,1144
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,Jelly,UC0DZmkupLYwc0yDsfocLh0A,23600000,15076578232,6410
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,Miss Katy,UCcartHVtvAUzfajflyeT_Gg,24600000,15596211610,1087
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,Dua Lipa,UC-J-KZfRV8c13fOCkhXdLiQ,23500000,13051261873,269
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.30%,Reino Unido,,5.3M,,Ver Perfil,Dan Rhodes,UC6D1L2vxEAg_Vi0JSxMBDgA,26900000,18761138258,1669
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,Ali-A,UCYVinkwSX7szARULgYpvhLw,18900000,6504433322,4344
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,Gaby and Alex,UCHwBjRoGO1V-H8QYXjSVHkQ,17200000,8677198963,367
11,Sidemen @sidemen,17M,2.80%,Reino Unido,,5.1M,,Ver Perfil,Sidemen,sidemen,21200000,6189151783,357
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,Queen Official,UCiMhD4jzUqG-IgPzUmmytRQ,17700000,11284694804,1176
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,Little Mix,UCIvqWqjC4aLvp7zI8hzARrA,16400000,7838466387,278
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,JJ Olatunji,UCGmnsW623G1r-Chmo5RB4Yw,16300000,4262017048,1352
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.20%,Reino Unido,Celebridad,4.2M,,Ver Perfil,F2Freestylers - Ultimate Soccer Skills Channel,UCKvn9VBLAiLiYL4FFJHri6g,14100000,3348988395,781
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,BBC News,UC16niRr50-MSBwiO3YDb3RA,16100000,5328005524,21725
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,BBC,UCCj956IF62FbT7Gouszaj9w,14200000,10453962589,19251
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,Awakening Music,UCBq5hp6DvwWam2XOXw6lYJA,14100000,5962770526,939
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,संयुक्त अधिराज्य,,3.7M,,प्रोफ़ाइल देखें,DisneyChannelUK,UCLeuoGy_hUDTBf5Hk0ynrpQ,13000000,13380116447,4526
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.60%,संयुक्त अधिराज्य,,3.6M,,प्रोफ़ाइल देखें,colinfurze,UCp68_FLety0O-n9QU6phsgw,13000000,1750177759,397
21,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,11.8M,1.90%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Mrwhosetheboss,UCMiJRAwDNSNzuYeN2uWa0pA,18700000,5435041035,1692
22,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,11.7M,-,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,TommyInnit,UC5p_l5ZeB_wGjO_yDXwiqvw,14800000,2380053815,468
23,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,11.6M,0.10%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Morgz,UCBwSufNse8VMBvQM_rCSvgQ,12700000,3534724042,846
24,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11.4M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,Tiana,UC6sSkkemzPjmrzS0Y0V_2zw,11400000,3244577393,1039
25,DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,11.2M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,DisneyJuniorUK,UC7Gf2tZ8coTX2ckTPgn62iQ,12100000,12399213525,2904
26,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Emily Tube,UC-0D1RlSzcvBoODCKSoLl2g,11100000,3726594496,727
27,Slogo @UCHdMK5Ef2El8KbD3L_WgANg,10.9M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Slogo,UCHdMK5Ef2El8KbD3L_WgANg,11700000,8946926485,6351
28,Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10.4M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,Jessie J,UC4pEp0mo54WhEBCTYvjVDJA,10600000,5795719260,96
29,Sing King @UCwTRjvjVge51X-ILJ4i22ew,10.2M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,Sing King,UCwTRjvjVge51X-ILJ4i22ew,12000000,7908043838,4372
